task_id,client,project_id,client_tier,team,task_type,seniority,task_complexity_score,brief_quality_score,deadline_pressure,scope_change_flag,pricing_model,created_at,delivered_at,sla_days,sla_breach,hours_spent,billable_hours,ai_usage_pct,ai_assisted,revisions,errors,rework_hours,outcome_score,revenue,cost,profit,created_by,updated_at,task_status,workflow_stage,jira_ticket,legacy_ai_flag,content_version,actual_days,profit_margin,efficiency_ratio,rework_ratio,cost_per_hour,revenue_per_hour,total_effort,profit_per_hour,delivery_days_actual,delivery_speed,ai_usage_bin
T00010,Client_F,P020,low,Media,ad,mid,4,3.0,low,0,fixed,2025-09-11,2025-09-14,2.0,1,11.57,7.0,0.38,True,5,1,4.59,51.37,743.55,756.78,-13.230000000000018,user_064,2025-09-12,delivered,client_review,JIRA-82158,false,final,3,-0.017793019971757137,0.6050129645635264,0.39671564390665515,65.40881590319792,64.26534140017286,16.16,-0.8186881188118823,3,1.5,low_medium
T00011,Client_F,P062,low,Content,report,junior,5,4.0,high,0,hourly,2026-05-03,2026-05-09,3.0,1,21.11,13.48,0.56,True,5,1,4.61,78.42,1681.29,661.02,1020.27,user_107,2026-05-10,review,execution,JIRA-10367,true,v2,6,0.6068376068376068,0.6385599242065372,0.21837991473235435,31.313121743249646,79.64424443391758,25.72,39.668351477449455,6,2.0,medium_high
T00012,Client_A,P047,low,Design,ad,mid,3,5.0,low,0,value_based,2026-03-13,2026-03-16,2.0,1,14.78,14.17,0.12,False,1,3,0.9,76.62,831.85,860.8,-28.94999999999993,user_017,2026-03-22,review,finalized,,true,v1,3,-0.03480194746649026,0.9587280108254398,0.06089309878213803,58.24086603518268,56.282138024357245,15.68,-1.8463010204081587,3,1.5,low
T00013,Client_C,P054,mid,SEO,article,junior,3,2.0,low,1,hourly,2026-05-12,2026-05-19,2.0,1,5.53,5.07,0.27,True,1,2,2.94,59.93,598.67,277.76,320.91,user_046,2026-05-16,delivered,briefing,JIRA-77165,true,v1,7,0.536038218050011,0.9168173598553345,0.5316455696202531,50.22784810126582,108.25858951175405,8.47,37.887839433293976,7,3.5,low_medium
T00014,Client_G,P006,low,Content,dev,junior,1,4.0,medium,0,hourly,2025-07-18,2025-07-23,7.0,0,6.01,4.9,0.54,True,2,0,1.66,79.92,459.38,235.72,223.66,user_046,2025-07-18,in_progress,execution,JIRA-60788,true,v2,5,0.4868736122600026,0.8153078202995009,0.2762063227953411,39.22129783693844,76.43594009983362,7.67,29.160365058670145,5,0.7142857142857143,medium_high
T00015,Client_D,P008,mid,SEO,dev,senior,3,3.0,medium,0,fixed,2026-01-24,2026-01-31,7.0,0,12.55,11.4,0.195,False,2,2,0.81,68.28,1255.54,882.97,372.57,user_048,2026-02-01,in_progress,execution,JIRA-62159,false,v1,7,0.29674084457683547,0.9083665338645418,0.06454183266932272,70.35617529880479,100.0430278884462,13.360000000000001,27.886976047904188,7,1.0,low
T00016,Client_Z,P062,mid,SEO,dev,junior,2,2.0,high,0,hourly,2025-09-19,2025-09-23,7.0,0,23.01,14.64,0.5,True,4,0,2.9,46.04,745.07,1272.55,-527.4799999999999,user_113,2025-09-22,review,client_review,,true,v2,4,-0.7079603258754209,0.636245110821382,0.12603215993046502,55.30421555845284,32.38026944806606,25.91,-20.35816287147819,4,0.5714285714285714,medium_high
T00017,Client_E,P023,high,Media,report,mid,2,2.0,high,0,hourly,2025-12-04,2025-12-10,5.0,1,30.92,21.01,0.25,True,1,0,2.89,72.80306831747332,2745.14,1439.98,1305.16,user_066,2025-12-04,review,briefing,JIRA-91601,true,v2,6,0.4754438753579053,0.6794954721862873,0.09346701164294954,46.57115135834411,88.78201811125484,33.81,38.60278024253179,6,1.2,low_medium
T00018,Client_D,P021,high,Content,report,senior,4,5.0,medium,0,fixed,2026-01-14,2026-01-20,3.0,1,7.75,4.5,0.1,False,4,1,0.69,79.16,1685.41,452.31,1233.1,user_007,2026-01-20,in_progress,qa,JIRA-30343,true,v3,6,0.7316320657881464,0.5806451612903226,0.08903225806451612,58.36258064516129,217.47225806451613,8.44,146.10189573459715,6,2.0,low
T00019,Client_H,P005,mid,Content,design,junior,2,4.0,high,0,value_based,2025-10-05,2025-10-08,10.0,0,6.37,4.82,0.25,True,4,1,1.54,78.58,1030.0,330.63,699.37,user_031,2025-10-06,blocked,execution,JIRA-42265,true,final,3,0.679,0.7566718995290425,0.24175824175824176,51.90423861852433,161.69544740973313,7.91,88.41592920353982,3,0.3,low_medium
T00020,Client_F,P001,high,SEO,ticket,junior,2,5.0,medium,0,fixed,2025-10-24,2025-10-31,3.0,1,8.27,5.4,0.04,False,3,1,0.61,73.77,697.5,474.04,223.46,user_040,2025-10-28,draft,finalized,JIRA-80701,true,v1,7,0.32037275985663083,0.6529625151148731,0.07376058041112454,57.32043530834341,84.34099153567111,8.879999999999999,25.164414414414416,7,2.3333333333333335,low
T00021,Client_D,P031,high,SEO,ticket,junior,1,5.0,high,0,fixed,2026-04-11,2026-04-15,7.0,0,4.55,1.1,0.63,True,0,0,0.0,83.66785621456216,477.45,277.21,200.24,user_053,2026-04-11,in_progress,execution,,false,v2,4,0.4193947010158132,0.2417582417582418,0.0,60.925274725274726,104.93406593406594,4.55,44.008791208791216,4,0.5714285714285714,high
T00022,Client_D,P007,mid,Content,release,senior,2,4.0,medium,1,hourly,2026-01-11,2026-01-16,3.0,1,12.97,3.0,0.16,False,2,1,1.07,74.14,299.67,888.6,-588.9300000000001,user_105,2026-01-14,review,finalized,JIRA-86150,false,v2,5,-1.9652617879667635,0.2313030069390902,0.08249807247494217,68.51195065535852,23.104857363145722,14.040000000000001,-41.9465811965812,5,1.6666666666666667,low
T00023,Client_B,P015,high,Design,ad,mid,2,1.0,low,0,value_based,2025-11-02,2025-11-06,7.0,0,5.76,4.79,0.88,True,2,0,2.05,62.63,1124.7,358.62,766.08,user_053,2025-11-05,delivered,briefing,JIRA-60009,false,v2,4,0.681141637770072,0.8315972222222222,0.35590277777777773,62.26041666666667,195.26041666666669,7.81,98.08962868117798,4,0.5714285714285714,very_high
T00024,Client_B,P060,mid,Content,article,mid,2,4.0,high,0,fixed,2025-07-08,2025-07-12,7.0,0,20.37,9.42,0.2,True,4,0,0.0,78.72,834.26,881.65,-47.38999999999999,user_117,2025-07-17,in_progress,briefing,JIRA-45937,true,v2,4,-0.05680483302567544,0.4624447717231222,0.0,43.281786941580755,40.955326460481096,20.37,-2.326460481099656,4,0.5714285714285714,low_medium
T00025,Client_G,P002,low,Media,ticket,mid,3,3.0,medium,0,fixed,2026-05-17,2026-05-19,2.0,0,8.67,4.87,0.25,True,6,0,0.88,66.24,180.3,418.18,-237.88,user_056,2026-05-19,archived,client_review,,false,v1,2,-1.3193566278424846,0.5617070357554786,0.10149942329873125,48.23298731257209,20.795847750865054,9.55,-24.908900523560206,2,1.0,low_medium
T00026,Client_F,P032,high,Media,article,junior,4,5.0,high,0,fixed,2025-10-22,2025-10-24,5.0,0,8.72,6.27,0.61,True,8,2,1.38,65.8,1647.17,317.81,1329.36,user_089,2025-10-26,delivered,finalized,JIRA-96760,true,v1,2,0.8070569522271531,0.7190366972477064,0.15825688073394492,36.44610091743119,188.89564220183485,10.100000000000001,131.619801980198,2,0.4,high
T00027,Client_H,P046,mid,SEO,ticket,mid,3,3.0,medium,0,fixed,2025-11-17,2025-11-21,5.0,0,5.79,1.82,0.38,True,1,3,2.15,82.88,655.02,2930.2272945112363,-2275.2072945112363,user_114,2025-11-22,delivered,client_review,JIRA-51654,true,v3,4,-3.473492862067168,0.3143350604490501,0.3713298791018998,506.08416140090435,113.12953367875647,7.9399999999999995,-286.5500370920953,4,0.8,low_medium
T00028,Client_D,P027,high,Content,article,junior,3,4.0,medium,0,value_based,2025-08-17,2025-08-24,2.0,1,4.21,2.68,0.44,True,4,0,0.0,63.44,1448.48,189.83,1258.65,user_089,2025-08-19,in_progress,client_review,JIRA-60183,false,v2,7,0.86894537722302,0.6365795724465558,0.0,45.090261282660336,344.0570071258907,4.21,298.96674584323046,7,3.5,medium_high
T00029,Client_A,P054,low,SEO,ad,mid,2,2.0,medium,0,fixed,2025-12-16,2025-12-20,5.0,0,8.51,4.01,0.21,True,1,1,0.0,90.9,557.14,675.23,-118.09000000000005,user_050,2025-12-23,in_progress,briefing,JIRA-98839,true,v3,4,-0.21195749721793453,0.4712103407755582,0.0,79.34547591069331,65.46886016451234,8.51,-13.876615746180969,4,0.8,low_medium
T00030,Client_B,P036,mid,Content,dev,junior,1,2.0,medium,0,fixed,2026-02-19,2026-02-26,10.0,0,16.82,12.94,0.39,True,0,1,1.02,53.62,983.45,618.27,365.18000000000006,user_011,2026-02-26,review,briefing,JIRA-49573,unknown,v1,7,0.3713254359652245,0.7693222354340071,0.06064209274673008,36.75802615933412,58.46908442330559,17.84,20.46973094170404,7,0.7,low_medium
T00031,Client_G,P044,low,Design,release,mid,1,5.0,medium,0,fixed,2026-05-08,2026-05-10,2.0,0,11.48,6.58,0.355,True,4,2,1.2,60.32,734.72,573.31,161.41000000000008,user_031,2026-05-16,delivered,briefing,JIRA-73572,true,v1,2,0.21968913327526143,0.573170731707317,0.10452961672473866,49.93989547038327,64.0,12.68,12.729495268138807,2,1.0,low_medium
T00032,Client_E,P063,low,Content,dev,junior,4,5.0,high,0,fixed,2025-12-05,2025-12-09,5.0,0,17.74,10.56,0.43,True,1,2,3.79,59.59,1689.93,610.97,1078.96,user_041,2025-12-11,draft,qa,JIRA-17164,true,v2,4,0.6384643150899741,0.5952649379932357,0.21364148816234502,34.4402480270575,95.26099210823,21.529999999999998,50.11425917324664,4,0.8,medium_high
T00033,Client_F,P044,mid,Design,ticket,mid,4,1.0,high,0,hourly,2025-07-01,2025-07-04,5.0,0,15.29,11.81,0.53,True,6,1,0.0,63.14,1052.17,724.67,327.5000000000001,user_007,2025-07-09,in_progress,finalized,,unknown,v2,3,0.3112614881625594,0.7724002616088947,0.0,47.39502943100065,68.81425768476129,15.29,21.419228253760636,3,0.6,medium_high
T00034,Client_G,P029,high,SEO,article,junior,1,1.0,medium,0,fixed,2026-03-05,2026-03-13,10.0,0,16.25,10.53,0.25,True,2,2,1.92,65.47,639.41,754.57,-115.16000000000008,user_073,2026-03-12,in_progress,finalized,JIRA-68210,false,v4,8,-0.1801035329444333,0.6479999999999999,0.11815384615384615,46.43507692307693,39.34830769230769,18.17,-6.337919647771055,8,0.8,low_medium
T00035,Client_C,P054,low,SEO,article,junior,3,3.0,low,0,hourly,2026-01-16,2026-01-18,5.0,0,13.91,7.72,0.85,True,1,1,1.82,55.95,850.68,695.98,154.69999999999993,user_094,2026-01-24,in_progress,client_review,JIRA-72251,true,v4,2,0.18185451638689043,0.5549964054636951,0.13084112149532712,50.03450754852624,61.15600287562904,15.73,9.834710743801649,2,0.4,very_high
T00036,Client_G,P063,high,Media,design,mid,5,4.0,low,0,value_based,2025-12-24,2025-12-24,10.0,0,15.75,13.16,0.65,True,1,2,1.98,59.52,2118.27,1241.52,876.75,user_092,2025-12-24,in_progress,finalized,JIRA-89266,true,final,0,0.41389907802121545,0.8355555555555556,0.12571428571428572,78.82666666666667,134.49333333333334,17.73,49.45008460236887,0,0.0,high
T00037,Client_F,P053,low,Media,ad,junior,4,3.0,medium,0,hourly,2025-11-26,2025-11-29,3.0,0,18.48,14.39,0.05,False,4,2,0.99,61.54,1444.99,801.76,643.23,user_083,2025-12-01,in_progress,briefing,JIRA-66419,true,v3,3,0.4451449490999938,0.7786796536796536,0.05357142857142857,43.38528138528138,78.19209956709956,19.47,33.03697996918336,3,1.0,low
T00038,Client_B,P022,mid,SEO,dev,senior,1,1.0,low,0,fixed,2026-05-02,2026-05-06,10.0,0,7.77,6.2,0.27,True,1,1,0.0,73.83,796.69,442.53,354.1600000000001,user_117,2026-05-05,in_progress,briefing,JIRA-33620,false,v1,4,0.4445392812762807,0.797940797940798,0.0,56.95366795366795,102.53410553410555,7.77,45.5804375804376,4,0.4,low_medium
T00039,Client_E,P049,high,Content,report,junior,2,5.0,medium,0,fixed,2025-09-06,2025-09-12,5.0,1,14.69,8.24,0.45,True,3,1,1.55,91.6,1160.31,669.78,490.53,user_052,2025-09-08,blocked,client_review,JIRA-75141,true,v3,6,0.4227577113012902,0.560925799863853,0.1055139550714772,45.59428182437032,78.9863852961198,16.24,30.205049261083744,6,1.2,medium_high
T00040,Client_D,P031,mid,Media,ad,mid,1,2.0,medium,0,value_based,2025-07-02,2025-07-04,3.0,0,4.0,3.95,0.37,True,4,1,2.32,64.9667583940356,833.92,279.05,554.8699999999999,user_033,2025-07-10,in_progress,execution,JIRA-64978,true,final,2,0.6653755755947812,0.9875,0.58,69.7625,208.48,6.32,87.79588607594934,2,0.6666666666666666,low_medium
T00041,Client_A,P035,low,Design,report,mid,1,3.0,medium,0,hourly,2025-08-24,2025-08-27,2.0,1,5.25,3.2,0.66,True,3,0,0.9,92.44,296.37,226.24,70.13,user_110,2025-08-25,blocked,briefing,JIRA-53191,true,v1,3,0.23662988831528156,0.6095238095238096,0.17142857142857143,43.093333333333334,56.45142857142857,6.15,11.403252032520324,3,1.5,high
T00042,Client_B,P009,high,Design,report,junior,2,3.0,high,0,hourly,2025-08-17,2025-08-19,7.0,0,13.05,10.57,0.5,True,4,2,2.24,49.78,869.59,659.3,210.29000000000008,user_039,2025-08-19,archived,briefing,JIRA-67759,false,v2,2,0.24182660794167374,0.8099616858237547,0.17164750957854408,50.52107279693486,66.63524904214559,15.290000000000001,13.753433616742974,2,0.2857142857142857,medium_high
T00043,Client_H,P014,mid,Media,release,junior,2,3.0,high,0,hourly,2026-01-11,2026-01-17,5.0,1,10.02,5.99,0.38,True,1,2,2.44,67.55,743.37,365.07,378.3,user_076,2026-01-13,archived,briefing,JIRA-68581,false,v4,6,0.5088986641914525,0.5978043912175649,0.2435129740518962,36.43413173652695,74.18862275449102,12.459999999999999,30.361155698234352,6,1.2,low_medium
T00044,Client_H,P018,high,Design,ad,senior,2,3.0,medium,1,fixed,2026-01-07,2026-01-12,7.0,0,7.08,5.67,0.03,False,8,1,4.06,75.13,902.57,414.02,488.55000000000007,user_083,2026-01-14,review,finalized,,true,v1,5,0.5412876563590636,0.8008474576271186,0.5734463276836158,58.4774011299435,127.4816384180791,11.14,43.85547576301616,5,0.7142857142857143,low
T00045,Client_C,P047,high,SEO,dev,mid,3,3.0,high,1,hourly,2026-01-23,2026-01-30,3.0,1,21.54,17.27,0.59,True,1,2,3.21,65.76,1670.62,979.65,690.9699999999999,user_045,2026-01-30,in_progress,execution,,true,v2,7,0.41360093857370317,0.8017641597028784,0.149025069637883,45.48050139275766,77.5589600742804,24.75,27.917979797979793,7,2.3333333333333335,medium_high
T00046,Client_E,P043,mid,Design,dev,mid,2,3.0,low,0,hourly,2026-01-24,2026-01-26,5.0,0,15.4,9.41,0.52,True,3,0,0.0,74.66,897.05,1032.87,-135.81999999999994,user_047,2026-02-02,in_progress,finalized,JIRA-38743,false,v1,2,-0.15140739089236938,0.611038961038961,0.0,67.0694805194805,58.24999999999999,15.4,-8.819480519480516,2,0.4,medium_high
T00047,Client_E,P030,high,Design,design,mid,3,2.0,low,0,value_based,2025-10-17,2025-10-23,5.0,1,15.83,15.83,0.09,False,3,1,1.455,77.98,872.23,1198.71,-326.48,user_004,2025-10-25,in_progress,briefing,JIRA-20925,false,v3,6,-0.37430494250369745,1.0,0.09191408717624763,75.72394188250158,55.09981048641819,17.285,-18.888053225339892,6,1.2,low
T00048,Client_B,P063,low,Design,report,mid,1,3.0,high,0,value_based,2026-01-30,2026-02-04,5.0,0,6.36,5.55,0.68,True,5,1,2.95,75.9,747.7,498.88,248.82000000000005,user_103,2026-02-06,blocked,finalized,JIRA-43663,true,final,5,0.33278052694931126,0.8726415094339622,0.4638364779874214,78.44025157232704,117.562893081761,9.31,26.726100966702475,5,1.0,high
T00049,Client_E,P021,mid,Design,release,mid,1,4.0,low,0,hourly,2026-04-29,2026-05-03,7.0,0,18.79,10.0,0.08,False,2,0,0.66,76.44,1197.0,1073.25,123.75,user_064,2026-04-30,blocked,finalized,JIRA-38643,false,v4,4,0.10338345864661654,0.532197977647685,0.03512506652474721,57.11814795103779,63.70409792442789,19.45,6.362467866323907,4,0.5714285714285714,low
T00050,Client_H,P001,mid,Media,design,senior,2,4.0,medium,0,fixed,2025-10-18,2025-10-24,2.0,1,7.41,5.05,0.02,False,2,2,2.4,64.79,777.36,665.08,112.27999999999996,user_036,2025-10-25,in_progress,briefing,,false,final,6,0.14443758361634243,0.6815114709851552,0.32388663967611336,89.75438596491229,104.90688259109312,9.81,11.445463812436286,6,3.0,low
T00051,Client_C,P026,mid,Design,release,mid,3,2.0,low,0,hourly,2026-01-21,2026-01-28,3.0,1,23.81,13.54,0.24,True,3,3,3.37,51.29,516.77,1757.82,-1241.05,user_110,2026-01-24,archived,execution,JIRA-70475,true,v2,7,-2.401551947674981,0.5686686266274674,0.1415371692566149,73.82696346073078,21.703905921881564,27.18,-45.66041206769683,7,2.3333333333333335,low_medium
T00052,Client_B,P009,low,SEO,report,mid,3,4.0,low,0,hourly,2026-01-23,2026-01-31,3.0,1,9.82,7.52,0.17,False,4,0,1.5,78.51,567.19,771.64,-204.45,user_046,2026-01-24,archived,qa,JIRA-27475,true,v2,8,-0.3604612211075653,0.7657841140529531,0.15274949083503053,78.57841140529531,57.758655804480654,11.32,-18.06095406360424,8,2.6666666666666665,low
T00053,Client_C,P001,mid,Content,report,mid,2,2.0,medium,0,hourly,2026-01-30,2026-02-05,7.0,0,9.09,7.54,0.06,False,3,2,1.79,64.12,898.07,454.0,444.0700000000001,user_014,2026-01-30,delivered,qa,JIRA-69351,unknown,v1,6,0.49447147772445366,0.8294829482948295,0.19691969196919692,49.94499449944995,98.79757975797581,10.879999999999999,40.81525735294119,6,0.8571428571428571,low
T00054,Client_G,P020,high,SEO,release,mid,2,1.0,low,0,fixed,2026-03-25,2026-04-01,3.0,1,15.24,6.95,0.13,False,4,3,3.83,60.69,1395.74,1020.57,375.17,user_072,2026-03-27,review,briefing,JIRA-41128,true,v3,7,0.26879648071990486,0.45603674540682415,0.25131233595800523,66.96653543307087,91.58398950131233,19.07,19.673308862087048,7,2.3333333333333335,low
T00055,Client_F,P057,low,SEO,report,junior,3,3.0,medium,0,fixed,2026-03-02,2026-03-04,7.0,0,7.34,4.981931290622098,0.61,True,3,1,0.79,80.89,1024.79,292.57,732.22,user_068,2026-03-09,in_progress,qa,JIRA-92545,true,v4,2,0.7145073624840211,0.6787372330547818,0.10762942779291554,39.85967302452316,139.61716621253404,8.129999999999999,90.0639606396064,2,0.2857142857142857,high
T00056,Client_M,P037,high,Media,article,junior,3,4.0,medium,0,fixed,2025-07-17,2025-07-20,5.0,0,9.64,7.23,0.24,True,1,0,1.58,83.07,1384.4,621.4,763.0000000000001,user_004,2025-07-23,delivered,qa,JIRA-24078,true,v3,3,0.5511412886449004,0.75,0.16390041493775934,64.46058091286307,143.60995850622407,11.22,68.0035650623886,3,0.6,low_medium
T00057,Client_B,P049,low,Media,release,junior,1,3.0,low,0,fixed,2025-11-24,2025-11-28,5.0,0,19.54,13.05,0.53,True,2,1,1.12,69.96656517193509,573.23,852.8,-279.56999999999994,user_097,2025-11-26,delivered,execution,JIRA-62438,unknown,v2,4,-0.48770999424314837,0.6678607983623337,0.05731832139201638,43.643807574206754,29.336233367451385,20.66,-13.53194578896418,4,0.8,medium_high
T00058,Client_H,P036,low,Media,ticket,mid,3,5.0,medium,0,hourly,2025-09-07,2025-09-09,3.0,0,8.32,6.52,0.26,True,0,0,2.44,80.12,824.92,498.59,326.33,user_094,2025-09-13,in_progress,execution,JIRA-36863,false,v2,2,0.3955898753818552,0.783653846153846,0.2932692307692307,59.926682692307686,99.14903846153845,10.76,30.32806691449814,2,0.6666666666666666,low_medium
T00059,Client_D,P026,mid,SEO,design,mid,5,3.0,medium,0,fixed,2025-08-29,2025-09-04,2.0,1,16.9,8.45,0.44,True,3,3,1.22,55.95,5524.23,743.5,4780.73,user_082,2025-08-30,archived,client_review,JIRA-68585,true,v1,6,0.8654111070683154,0.5,0.07218934911242604,43.99408284023669,326.87751479289943,18.119999999999997,263.8371964679912,6,3.0,medium_high
T00060,Client_S,P060,high,Media,design,senior,5,3.0,medium,0,hourly,2025-07-08,2025-07-12,5.0,0,20.15,16.35,0.39,True,7,2,1.17,65.34,1889.16,1846.64,42.51999999999998,user_002,2025-07-12,delivered,qa,JIRA-95395,false,v2,4,0.022507357767473365,0.8114143920595535,0.05806451612903226,91.64466501240696,93.75483870967743,21.32,1.9943714821763594,4,0.8,low_medium
T00061,Client_F,P049,low,Content,dev,junior,2,3.0,medium,0,hourly,2025-12-07,2025-12-14,2.0,1,6.5,3.61,0.36,True,1,0,1.25,83.12,448.73,217.59,231.14,user_058,2025-12-13,draft,execution,JIRA-21920,true,v2,7,0.5150981659349719,0.5553846153846154,0.19230769230769232,33.47538461538461,69.03538461538461,7.75,29.824516129032258,7,3.5,low_medium
T00062,Client_H,P003,mid,Design,ticket,junior,3,4.0,low,0,hourly,2026-04-13,2026-04-18,3.0,1,10.47,5.6,0.19,False,2,1,1.82,69.31,506.4,440.01,66.38999999999999,user_072,2026-04-18,in_progress,client_review,JIRA-99918,true,v1,5,0.13110189573459713,0.5348615090735434,0.17382999044890163,42.02578796561604,48.36676217765042,12.290000000000001,5.401952807160291,5,1.6666666666666667,low
T00063,Client_C,P025,low,SEO,ad,senior,2,2.0,medium,0,fixed,2025-12-09,2025-12-13,5.0,0,13.38,9.49,0.24,True,5,3,1.39,56.97,515.0,570.32,-55.32000000000005,user_047,2025-12-17,delivered,finalized,,true,final,4,-0.10741747572815544,0.7092675635276532,0.10388639760837069,42.624813153961135,38.49028400597907,14.770000000000001,-3.745429925524715,4,0.8,low_medium
T00064,Client_D,P060,high,Media,dev,junior,4,1.0,low,1,fixed,2025-11-28,2025-12-01,2.0,1,13.19,12.96,0.27,True,1,4,4.85,39.98,2800.98,2661.382033855284,139.59796614471588,user_095,2025-12-04,review,client_review,JIRA-32834,true,v3,3,0.049838972839761755,0.9825625473843822,0.36770280515542075,201.77270916264476,212.3563305534496,18.04,7.738246460350105,3,1.5,low_medium
T00065,Client_H,P058,high,SEO,dev,mid,1,4.0,high,0,hourly,2026-05-10,2026-05-16,5.0,1,17.46,5.48,0.29,True,3,0,2.86,77.04,675.44,1154.93,-479.49,user_037,2026-05-19,delivered,qa,JIRA-29459,false,v1,6,-0.7098928106123416,0.3138602520045819,0.1638029782359679,66.14719358533792,38.68499427262314,20.32,-23.596948818897637,6,1.2,low_medium
T00066,Client_D,P028,mid,Media,report,junior,2,3.0,medium,0,value_based,2026-04-24,2026-04-28,7.0,0,16.51,6.75,0.75,True,4,0,1.32,61.4,1281.2,674.54,606.6600000000001,user_031,2026-04-27,review,qa,JIRA-28893,true,v3,4,0.4735092101155168,0.40884312537855844,0.07995154451847365,40.85645063597819,77.60145366444578,17.830000000000002,34.02467750981492,4,0.5714285714285714,high
T00067,Client_B,P018,mid,SEO,ad,senior,2,4.0,medium,0,fixed,2025-11-20,2025-11-26,3.0,1,5.11,5.07,0.25,True,1,1,1.24,81.59,592.08,412.94,179.14000000000004,user_016,2025-11-20,in_progress,finalized,JIRA-99220,true,v2,6,0.30256046480205384,0.9921722113502935,0.24266144814090018,80.81017612524461,115.866927592955,6.3500000000000005,28.21102362204725,6,2.0,low_medium
